Date,Animal,EMG start sample,EMG end sample,Totel Reach Successes,Total Flags,Flag Type,Qualified Trials,% Used,Spout 1 Used,Spout 1 Total,% Used,Spout 2 Used,Spout 2 Total,% Used,Spout 3 Used,Spout 3 Total,% Used,Spout 4 Used,Spout 4 Total,% Used
0327,a048,1203000,1204000,165,16,"3,11,3,3,7",149,90.3%,26,29,89.7%,8,8,100.0%,49,52,94.2%,66,76,86.8%
0330,a048,1147000,1148000,197,27,"5,16,8,4,7",170,86.3%,46,49,93.9%,42,55,76.4%,37,43,86.0%,45,50,90.0%
0331,a048,2184000,2185000,236,23,"7,19,4,5,6",213,90.3%,71,82,86.6%,20,21,95.2%,40,42,95.2%,82,91,90.1%
0401,a048,1024000,1025000,219,20,"2,12,3,3,7",199,90.9%,67,71,94.4%,23,26,88.5%,49,55,89.1%,60,67,89.6%
0402,a048,2103000,2104000,258,36,"5,20,9,6,10",222,86.0%,41,52,78.8%,67,73,91.8%,55,56,98.2%,59,77,76.6%
0403,a048,1475000,1476000,214,29,"5,15,10,4,8",185,86.4%,41,45,91.1%,20,21,95.2%,47,54,87.0%,77,94,81.9%
0922,a050,1031700,1032700,162,31,"7,10,18,3,4",131,80.9%,4,5,80.0%,56,62,90.3%,23,31,74.2%,48,64,75.0%
0923,a050,1228000,1229000,202,22,"2,3,3,8,8",180,89.1%,0,1,0.0%,94,99,94.9%,7,17,41.2%,79,85,92.9%
0930,ss2,1054000,1055000,84,12,"2,2,8,1,1",72,85.7%,23,27,85.2%,16,17,94.1%,6,8,75.0%,27,32,84.4%
1001,ss2,1190000,1191000,226,20,"5,1,15,0,3",206,91.2%,74,77,96.1%,51,52,98.1%,27,28,96.4%,54,69,78.3%
1002,ss2,2281000,2282000,338,101,"11,54,45,3,11",237,70.1%,60,88,68.2%,66,85,77.6%,39,51,76.5%,72,114,63.2%
1005,ss2,1987000,1990000,406,38,"12,24,11,6,9",368,90.6%,114,125,91.2%,114,126,90.5%,65,70,92.9%,75,85,88.2%
1006,ss2,2764000,2765000,260,103,"7,15,87,2,4",157,60.4%,60,96,62.5%,46,80,57.5%,39,69,56.5%,12,15,80.0%
1024,MA1,1390000,1391000,145,12,"3,5,1,3,3",133,91.7%,52,59,88.1%,24,25,96.0%,23,23,100.0%,34,38,89.5%
1026,MA1,1574000,1575000,127,9,"3,6,0,2,1",118,92.9%,63,66,95.5%,24,25,96.0%,5,6,83.3%,26,30,86.7%
1027,MA1,1569400,1570400,141,17,"4,9,5,3,3",124,87.9%,65,70,92.9%,8,10,80.0%,7,7,100.0%,44,54,81.5%
1028,MA1,1515000,1516000,193,21,"5,9,7,1,3",172,89.1%,63,73,86.3%,38,43,88.4%,7,9,77.8%,64,68,94.1%
1110,a051,1696000,1697000,224,68,"9,19,49,1,7",156,69.6%,19,25,76.0%,27,40,67.5%,56,69,81.2%,54,90,60.0%
1112,a051,2532000,2533000,145,22,"5,16,3,0,4",123,84.8%,26,33,78.8%,4,4,100.0%,20,23,87.0%,73,85,85.9%
1115,MA2,1512000,1513000,96,7,"3,4,0,0,2",89,92.7%,1,1,100.0%,8,9,88.9%,5,6,83.3%,75,80,93.8%
1117,MA2,3281000,3282000,147,22,"3,16,1,2,3",125,85.0%,13,15,86.7%,11,13,84.6%,2,3,66.7%,99,116,85.3%
,,,,,,,168,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,243,,,94,,,42,,,168,,
